OrderID,Date,Customer,Region,Category,Product,Quantity,UnitPrice,Discount(%),TotalSales,Salesperson,Month,Month_Name,Quarter
ORD0001,2024-04-24,QuickBuy,North,Electronics,Laptop,9,55000,5,470250.0,Divya,2024-04,Apr 2024,Q2
ORD0002,2024-02-17,StarStore,South,Electronics,Tablet,2,30000,0,60000.0,Arjun,2024-02,Feb 2024,Q1
ORD0003,2024-04-22,CityShop,East,Electronics,Smartphone,18,25000,15,382500.0,Adithyan,2024-04,Apr 2024,Q2
ORD0004,2024-03-20,StarStore,East,Clothing,Shoes,11,1999,10,19790.1,Adithyan,2024-03,Mar 2024,Q1
ORD0005,2024-06-25,BestDeal,East,Electronics,Tablet,4,30000,10,108000.0,Adithyan,2024-06,Jun 2024,Q2
ORD0006,2024-10-09,MegaMall,East,Grocery,Rice (5kg),13,350,0,4550.0,Arjun,2024-10,Oct 2024,Q4
ORD0007,2024-05-28,ShopEasy,South,Clothing,T-Shirt,2,499,5,948.1,Adithyan,2024-05,May 2024,Q2
ORD0008,2024-03-24,FreshMart,East,Grocery,Biscuits,15,90,10,1215.0,Meera,2024-03,Mar 2024,Q1
ORD0009,2024-09-30,StarStore,South,Furniture,Chair,20,4500,5,85500.0,Priya,2024-09,Sep 2024,Q3
ORD0010,2024-12-16,FreshMart,North,Grocery,Biscuits,18,90,5,1539.0,Meera,2024-12,Dec 2024,Q4
ORD0011,2024-02-03,StarStore,East,Electronics,Headphones,13,3500,10,40950.0,Meera,2024-02,Feb 2024,Q1
ORD0012,2024-05-15,QuickBuy,South,Grocery,Coffee,15,450,5,6412.5,Divya,2024-05,May 2024,Q2
ORD0013,2024-07-04,StarStore,South,Furniture,Sofa,19,18000,15,290700.0,Arjun,2024-07,Jul 2024,Q3
ORD0014,2024-03-19,QuickBuy,West,Grocery,Rice (5kg),2,350,0,700.0,Arjun,2024-03,Mar 2024,Q1
ORD0015,2024-08-27,HomeHub,East,Electronics,Tablet,13,30000,20,312000.0,Arjun,2024-08,Aug 2024,Q3
ORD0016,2024-11-24,FreshMart,North,Electronics,Laptop,18,55000,10,891000.0,Rahul,2024-11,Nov 2024,Q4
ORD0017,2024-05-14,HomeHub,South,Grocery,Oil (1L),15,180,0,2700.0,Arjun,2024-05,May 2024,Q2
ORD0018,2024-04-11,QuickBuy,East,Electronics,Headphones,17,3500,20,47600.0,Meera,2024-04,Apr 2024,Q2
ORD0019,2024-02-27,FreshMart,East,Electronics,Headphones,16,3500,0,56000.0,Meera,2024-02,Feb 2024,Q1
